combined_symptom,m,sem,upper,lower,intensity,translation
leichte Halsschmerzen,1.85,0.3346246915733002,2.1846246915733003,1.5153753084266999,1,mild sore throat
leichte Rückenschmerzen,2.1,0.35466811765960937,2.4546681176596095,1.7453318823403907,2,mild back pain
leichte Kopfschmerzen,2.75,0.4222433820490387,3.1722433820490386,2.3277566179509614,3,mild head ache
mittlere Schmerzen im Brustkorb,4.25,0.3690314492374814,4.6190314492374815,3.8809685507625185,4,moderate chest pain
mittlere Halsschmerzen,4.35,0.364727728298074,4.714727728298073,3.9852722717019256,5,moderate sore throat
mittlere Rückenschmerzen,4.6,0.265567911821955,4.865567911821954,4.334432088178045,6,moderate back pain
mittlere Kopfschmerzen,4.95,0.3032716343651781,5.253271634365178,4.646728365634822,7,moderate head ache
schwere Halsschmerzen,6.7,0.4594046490610945,7.159404649061095,6.240595350938905,8,severe sore throat
schwere Rückenschmerzen,7.4,0.34335803011158084,7.743358030111581,7.056641969888419,9,severe back pain
schwere Kopfschmerzen,7.75,0.2603135760861059,8.010313576086105,7.489686423913894,10,severe head ache
